Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
03/01/2000,2.14,0.54,-0.051,0.67,0.472,0.509,1.769,0.521,-0.15
04/01/2000,2.421,0.604,0.079,0.627,0.55,0.561,2.084,0.474,-0.137
05/01/2000,2.297,0.575,0.08,0.653,0.501,0.488,2.023,0.406,-0.132
06/01/2000,2.292,0.546,0.082,0.581,0.566,0.517,2.064,0.355,-0.127
07/01/2000,2.005,0.662,-0.011,0.519,0.565,0.27,1.769,0.367,-0.131
10/01/2000,1.955,0.71,-0.058,0.513,0.5,0.29,1.639,0.451,-0.135
11/01/2000,1.89,0.517,-0.007,0.566,0.487,0.327,1.699,0.311,-0.12
12/01/2000,1.914,0.534,0.005,0.576,0.433,0.366,1.687,0.346,-0.119
13/01/2000,1.891,0.587,-0.037,0.498,0.536,0.307,1.707,0.31,-0.126
14/01/2000,1.647,0.584,-0.079,0.448,0.512,0.182,1.52,0.256,-0.129
18/01/2000,1.7,0.475,-0.057,0.483,0.549,0.25,1.67,0.172,-0.142
19/01/2000,1.865,0.485,-0.046,0.483,0.661,0.282,1.794,0.204,-0.133
20/01/2000,1.641,0.466,-0.017,0.525,0.406,0.261,1.577,0.194,-0.13
21/01/2000,1.498,0.465,-0.002,0.503,0.339,0.193,1.459,0.172,-0.133
24/01/2000,1.705,0.523,0.098,0.436,0.366,0.282,1.694,0.141,-0.13
25/01/2000,1.444,0.523,0.084,0.375,0.226,0.236,1.471,0.095,-0.122
26/01/2000,1.456,0.522,0.1,0.392,0.218,0.224,1.464,0.109,-0.117
27/01/2000,1.296,0.432,0.116,0.359,0.122,0.267,1.419,-0.009,-0.114
28/01/2000,1.594,0.492,0.219,0.204,0.23,0.449,1.73,-0.03,-0.106
31/01/2000,1.586,0.667,0.137,0.153,0.236,0.393,1.655,0.031,-0.1
01/02/2000,1.57,0.696,0.095,0.115,0.259,0.405,1.588,0.084,-0.102
02/02/2000,1.56,0.604,0.098,0.111,0.365,0.382,1.633,0.027,-0.1
03/02/2000,1.796,0.652,0.054,0.195,0.565,0.33,1.795,0.113,-0.112
04/02/2000,1.436,0.581,0.052,0.138,0.393,0.272,1.507,0.069,-0.14
07/02/2000,1.444,0.539,0.05,0.116,0.382,0.357,1.588,-0.007,-0.137
08/02/2000,1.236,0.612,0.007,0.096,0.224,0.297,1.337,0.036,-0.137
09/02/2000,1.488,0.541,0.083,0.184,0.289,0.391,1.602,0.03,-0.144
10/02/2000,1.326,0.542,0.07,0.123,0.249,0.342,1.517,-0.034,-0.157
11/02/2000,1.408,0.554,0.15,0.149,0.18,0.375,1.555,0.003,-0.15
14/02/2000,1.499,0.61,0.152,0.062,0.292,0.383,1.652,-0.02,-0.133
15/02/2000,1.246,0.563,0.121,0.092,0.116,0.354,1.366,-0.023,-0.097
16/02/2000,1.49,0.567,0.159,0.126,0.207,0.431,1.564,0.022,-0.096
17/02/2000,1.426,0.514,0.158,0.097,0.191,0.466,1.54,-0.022,-0.092
18/02/2000,1.723,0.58,0.276,0.024,0.265,0.578,1.844,-0.033,-0.088
22/02/2000,1.868,0.758,0.269,0.081,0.214,0.546,1.815,0.125,-0.072
23/02/2000,1.566,0.682,0.25,0.083,0.071,0.48,1.555,0.08,-0.069
24/02/2000,1.654,0.758,0.265,-0.002,0.14,0.493,1.67,0.052,-0.068
25/02/2000,1.734,0.754,0.326,-0.049,0.196,0.507,1.779,0.017,-0.062
28/02/2000,1.657,0.753,0.29,0.008,0.087,0.519,1.675,0.042,-0.06
29/02/2000,1.597,0.859,0.246,-0.067,0.114,0.445,1.619,0.03,-0.052
01/03/2000,1.732,0.842,0.203,0.11,0.145,0.432,1.589,0.195,-0.052
02/03/2000,1.541,0.779,0.193,0.049,0.131,0.389,1.526,0.069,-0.054
03/03/2000,1.284,0.864,0.121,-0.006,0.068,0.237,1.264,0.076,-0.056
06/03/2000,1.512,0.881,0.169,0.012,0.084,0.366,1.448,0.12,-0.056
07/03/2000,1.909,0.899,0.27,0.055,0.083,0.602,1.721,0.216,-0.028
08/03/2000,2.019,0.874,0.238,0.041,0.151,0.715,1.791,0.205,0.023
09/03/2000,1.978,0.968,0.146,0.067,0.154,0.643,1.635,0.322,0.021
10/03/2000,1.83,0.945,0.166,0.068,0.067,0.584,1.503,0.303,0.024
13/03/2000,2.153,1.023,0.21,0.088,0.149,0.683,1.743,0.376,0.034
14/03/2000,2.392,1.015,0.282,0.121,0.187,0.787,1.951,0.402,0.039
15/03/2000,2.191,1.034,0.192,0.078,0.221,0.666,1.792,0.359,0.04
16/03/2000,1.981,1.061,0.007,0.085,0.258,0.57,1.572,0.383,0.026
17/03/2000,1.902,1.03,-0.007,0.02,0.224,0.635,1.578,0.294,0.03
20/03/2000,1.974,1.045,0.011,0.035,0.204,0.679,1.603,0.329,0.042
21/03/2000,1.625,1.071,-0.089,-0.068,0.181,0.53,1.345,0.24,0.04
22/03/2000,1.623,1.084,-0.103,-0.079,0.216,0.505,1.338,0.243,0.042
23/03/2000,1.695,1.13,-0.175,-0.022,0.249,0.513,1.349,0.309,0.037
24/03/2000,1.888,1.076,-0.177,0.105,0.297,0.587,1.473,0.381,0.034
27/03/2000,2.079,1.084,-0.161,0.067,0.43,0.659,1.708,0.338,0.033
28/03/2000,2.212,1.174,-0.118,0.05,0.398,0.708,1.777,0.398,0.037
29/03/2000,2.224,1.199,-0.12,0.004,0.407,0.734,1.781,0.396,0.047
30/03/2000,2.609,1.367,-0.061,0.03,0.484,0.789,2.086,0.473,0.05
31/03/2000,2.971,1.492,0.004,0.104,0.523,0.848,2.175,0.745,0.051
03/04/2000,2.848,1.499,-0.022,0.019,0.598,0.754,2.162,0.632,0.054
04/04/2000,3.008,1.555,0.012,0.015,0.58,0.846,2.316,0.632,0.06
05/04/2000,3.158,1.629,0.034,0.021,0.55,0.924,2.397,0.702,0.059
06/04/2000,2.743,1.528,-0.003,0.048,0.461,0.709,2.131,0.593,0.019
07/04/2000,2.373,1.549,-0.044,-0.027,0.493,0.402,1.901,0.498,-0.026
10/04/2000,2.654,1.623,-0.015,-0.076,0.658,0.464,2.175,0.499,-0.02
11/04/2000,2.669,1.574,-0.002,-0.088,0.647,0.538,2.261,0.419,-0.011
12/04/2000,3.022,1.616,0.088,-0.046,0.593,0.771,2.429,0.565,0.028
13/04/2000,3.042,1.574,0.163,-0.054,0.595,0.764,2.508,0.5,0.034
14/04/2000,4.116,1.667,0.406,0.041,0.967,1.035,3.39,0.685,0.041
17/04/2000,3.491,1.619,0.292,0.051,0.685,0.844,2.771,0.664,0.056
18/04/2000,3.003,1.579,0.166,0.005,0.617,0.636,2.384,0.571,0.048
19/04/2000,3.03,1.534,0.209,-0.03,0.715,0.602,2.49,0.492,0.048
20/04/2000,2.877,1.572,0.186,-0.089,0.673,0.535,2.365,0.467,0.045
24/04/2000,3.01,1.553,0.2,-0.078,0.72,0.615,2.493,0.472,0.045
25/04/2000,2.652,1.494,0.068,-0.15,0.671,0.569,2.245,0.365,0.042
26/04/2000,2.884,1.511,0.114,-0.146,0.79,0.615,2.486,0.353,0.045
27/04/2000,2.854,1.51,0.103,-0.191,0.811,0.621,2.49,0.311,0.053
28/04/2000,2.934,1.591,0.135,-0.25,0.88,0.578,2.604,0.289,0.041
01/05/2000,2.956,1.686,0.102,-0.228,0.859,0.537,2.568,0.348,0.04
02/05/2000,3.207,1.624,0.161,-0.21,0.959,0.673,2.835,0.319,0.053
03/05/2000,3.524,1.65,0.252,-0.235,0.971,0.886,3.143,0.325,0.056
04/05/2000,3.662,1.591,0.268,-0.21,1.165,0.848,3.295,0.319,0.048
05/05/2000,3.53,1.656,0.18,-0.181,1.186,0.689,3.111,0.372,0.047
08/05/2000,3.547,1.662,0.206,-0.177,1.108,0.748,3.131,0.362,0.054
09/05/2000,3.459,1.682,0.242,-0.166,0.945,0.756,3.062,0.353,0.044
10/05/2000,3.508,1.758,0.323,-0.209,0.894,0.742,3.109,0.376,0.023
11/05/2000,3.493,1.68,0.252,-0.184,1.08,0.665,3.108,0.354,0.031
12/05/2000,3.411,1.736,0.217,-0.058,1.008,0.508,2.945,0.457,0.009
15/05/2000,3.323,1.759,0.129,-0.161,1.179,0.417,2.932,0.389,0.002
16/05/2000,2.952,1.787,0.09,-0.228,0.948,0.355,2.622,0.334,-0.004
17/05/2000,3.393,1.762,0.144,-0.202,1.282,0.407,3.046,0.335,0.012
18/05/2000,3.703,1.786,0.175,-0.159,1.473,0.428,3.274,0.41,0.019
19/05/2000,4.086,1.865,0.264,-0.075,1.536,0.496,3.501,0.565,0.02
22/05/2000,4.148,1.923,0.284,-0.103,1.475,0.569,3.502,0.608,0.038
23/05/2000,4.377,2.012,0.362,-0.068,1.503,0.568,3.616,0.72,0.041
24/05/2000,4.205,2.124,0.286,-0.123,1.435,0.483,3.401,0.756,0.048
25/05/2000,4.597,2.215,0.337,-0.116,1.735,0.426,3.788,0.768,0.041
26/05/2000,4.754,2.257,0.348,-0.067,1.795,0.421,3.857,0.86,0.037
30/05/2000,4.715,2.203,0.215,-0.018,1.906,0.409,3.824,0.859,0.032
31/05/2000,5.007,2.324,0.226,-0.098,2.134,0.421,4.08,0.89,0.037
01/06/2000,4.564,2.285,0.139,-0.204,2.009,0.335,3.785,0.752,0.027
02/06/2000,4.352,2.419,0.057,-0.154,1.755,0.275,3.399,0.931,0.022
05/06/2000,4.235,2.449,0.087,-0.124,1.489,0.334,3.18,1.029,0.026
06/06/2000,4.222,2.363,0.116,-0.007,1.349,0.401,3.116,1.079,0.027
07/06/2000,4.414,2.318,0.077,0.049,1.565,0.405,3.259,1.13,0.025
08/06/2000,4.3,2.177,0.104,0.013,1.59,0.416,3.32,0.958,0.022
09/06/2000,4.185,2.216,0.119,-0.052,1.599,0.303,3.235,0.93,0.02
12/06/2000,4.281,2.218,0.151,-0.061,1.652,0.321,3.31,0.943,0.028
13/06/2000,4.103,2.24,0.082,-0.039,1.513,0.307,3.104,0.97,0.029
14/06/2000,4.108,2.204,0.081,-0.055,1.629,0.249,3.154,0.924,0.03
15/06/2000,3.977,2.193,0.061,-0.05,1.57,0.203,3.002,0.945,0.03
16/06/2000,4.146,2.247,0.103,-0.056,1.579,0.273,3.047,1.023,0.076
19/06/2000,4.051,2.192,0.008,-0.05,1.606,0.295,2.988,0.993,0.07
20/06/2000,4.192,2.182,0.041,-0.026,1.612,0.383,3.076,1.039,0.077
21/06/2000,4.053,2.112,0.026,0.003,1.529,0.383,2.97,1.016,0.067
22/06/2000,4.241,2.079,0.106,0.018,1.518,0.52,3.136,1.035,0.07
23/06/2000,4.255,2.043,0.134,0.037,1.507,0.534,3.162,1.028,0.065
26/06/2000,4.169,2.099,0.093,-0.03,1.551,0.456,3.113,0.991,0.065
27/06/2000,4.137,2.128,0.111,0.018,1.511,0.369,3.034,1.037,0.066
28/06/2000,3.956,2.092,0.096,-0.014,1.529,0.253,2.935,0.956,0.065
29/06/2000,4.177,2.173,0.133,-0.017,1.642,0.246,3.071,1.038,0.068
30/06/2000,4.302,2.265,0.188,-0.042,1.666,0.225,3.18,1.066,0.056
03/07/2000,4.1,2.202,0.149,-0.03,1.554,0.225,3.024,1.023,0.053
05/07/2000,3.946,2.196,0.221,-0.083,1.309,0.303,2.919,0.966,0.061
06/07/2000,3.904,2.116,0.237,-0.061,1.303,0.309,2.932,0.907,0.065
07/07/2000,3.564,2.125,0.171,-0.121,1.218,0.171,2.654,0.849,0.061
10/07/2000,3.551,2.036,0.181,-0.048,1.148,0.234,2.657,0.829,0.065
11/07/2000,3.457,2.053,0.166,-0.075,1.089,0.224,2.558,0.832,0.067
12/07/2000,3.153,2.048,0.133,-0.146,0.953,0.165,2.363,0.739,0.051
13/07/2000,3.107,2.04,0.126,-0.19,0.961,0.17,2.34,0.713,0.054
14/07/2000,3.098,2.004,0.088,-0.116,0.97,0.152,2.282,0.763,0.053
17/07/2000,3.165,2.003,0.095,-0.106,1.013,0.16,2.321,0.783,0.061
18/07/2000,3.075,1.993,0.144,-0.159,1.046,0.051,2.353,0.705,0.017
19/07/2000,2.973,1.963,0.181,-0.167,0.961,0.035,2.295,0.66,0.018
20/07/2000,2.877,2.005,0.144,-0.179,0.953,-0.046,2.183,0.683,0.011
21/07/2000,2.918,1.972,0.188,-0.231,1.006,-0.017,2.281,0.621,0.016
24/07/2000,2.913,1.93,0.236,-0.222,0.949,0.02,2.325,0.575,0.013
25/07/2000,2.807,1.995,0.207,-0.23,0.859,-0.024,2.171,0.624,0.012
26/07/2000,2.849,1.966,0.272,-0.24,0.893,-0.042,2.23,0.609,0.01
27/07/2000,2.927,2.028,0.281,-0.281,0.956,-0.057,2.304,0.615,0.008
28/07/2000,3.165,2.035,0.372,-0.303,1.03,0.031,2.548,0.606,0.011
31/07/2000,3.23,2.146,0.335,-0.283,1.013,0.019,2.56,0.68,-0.01
01/08/2000,3.083,2.169,0.317,-0.35,0.941,0.006,2.433,0.654,-0.004
02/08/2000,3.097,2.176,0.319,-0.328,0.952,-0.022,2.42,0.678,-0.001
03/08/2000,3.106,2.19,0.306,-0.335,0.996,-0.051,2.418,0.698,-0.01
04/08/2000,3.03,2.196,0.278,-0.364,1.021,-0.101,2.334,0.692,0.004
07/08/2000,2.904,2.214,0.229,-0.371,0.898,-0.066,2.196,0.695,0.013
08/08/2000,2.706,2.137,0.22,-0.361,0.778,-0.068,2.026,0.666,0.014
09/08/2000,2.799,2.159,0.252,-0.342,0.765,-0.035,2.058,0.721,0.02
10/08/2000,2.592,2.065,0.292,-0.42,0.699,-0.044,1.984,0.581,0.027
11/08/2000,2.545,2.121,0.259,-0.435,0.711,-0.111,1.904,0.611,0.03
14/08/2000,2.411,2.115,0.201,-0.465,0.687,-0.127,1.789,0.589,0.033
15/08/2000,2.412,2.072,0.226,-0.398,0.633,-0.121,1.764,0.612,0.036
16/08/2000,2.491,2.065,0.241,-0.353,0.699,-0.161,1.846,0.623,0.022
17/08/2000,2.545,2.073,0.195,-0.36,0.723,-0.086,1.824,0.66,0.061
18/08/2000,2.469,2.084,0.21,-0.392,0.682,-0.115,1.775,0.634,0.06
21/08/2000,2.36,2.038,0.193,-0.397,0.609,-0.083,1.723,0.579,0.058
22/08/2000,2.498,2.114,0.2,-0.4,0.692,-0.108,1.789,0.651,0.058
23/08/2000,2.482,2.122,0.177,-0.336,0.616,-0.097,1.685,0.74,0.057
24/08/2000,2.487,2.14,0.174,-0.321,0.626,-0.132,1.669,0.757,0.061
